Unnamed: 0,distance,duration,update_time,create_time,time_offset,mean_speed,end_time,max_speed,exercise_type,start_time,calorie,start_date,start,end_date,exercise_duration,exercise_duration_minutes,start_hour,end_hour,type,exercise_duration_int
435,2479.41,1887204,2018-03-30 22:27:46.634,2018-03-30 22:27:46.634,UTC-0300,1.3138007,2018-03-30 22:16:42.000,2.6111112000000003,1001,2018-03-30 21:45:15.000,134.19,2018-03-30,21:45:15,2018-03-30,0 days 00:31:27.204000000,31.453400000000002,21,22,Walking,31
54,1494.19,1158088,2018-03-30 23:43:04.300,2018-03-30 23:43:04.300,UTC-0300,1.2902215,2018-03-30 23:41:18.000,1.4722222,1001,2018-03-30 23:22:00.000,79.3,2018-03-30,23:22:00,2018-03-30,0 days 00:19:18.088000000,19.301466666666666,23,23,Walking,19
44,2006.862,1882077,2018-03-30 22:17:51.329,2018-03-30 22:17:51.329,UTC-0300,1.1177728,2018-03-30 22:16:49.793,1.3611112,1001,2018-03-30 21:45:27.716,123.09,2018-03-30,21:45:27.716000,2018-03-30,0 days 00:31:22.077000000,31.367950000000004,21,22,Walking,31
155,2125.552,2101620,2018-03-30 23:42:25.443,2018-03-30 23:42:25.443,UTC-0300,1.0629008,2018-03-30 23:41:24.148,1.4444444,1001,2018-03-30 23:06:22.528,129.98,2018-03-30,23:06:22.528000,2018-03-30,0 days 00:35:01.620000000,35.02700000000001,23,23,Walking,35
319,996.84,1012671,2018-04-01 18:18:33.409,2018-04-01 18:18:33.409,UTC-0300,1.2771837,2018-04-01 18:17:32.204,1.75,1001,2018-04-01 18:00:39.533,57.53,2018-04-01,18:00:39.533000,2018-04-01,0 days 00:16:52.671000000,16.877850000000002,18,18,Walking,16
145,1176.85,1084483,2018-04-01 18:20:32.890,2018-04-01 18:20:32.890,UTC-0300,1.0851715,2018-04-01 18:19:19.000,2.0,1001,2018-04-01 18:01:14.000,62.51,2018-04-01,18:01:14,2018-04-01,0 days 00:18:04.483000000,18.07471666666667,18,18,Walking,18
316,2004.53,1597587,2018-04-06 00:40:55.746,2018-04-06 00:40:55.746,UTC-0300,1.2547233999999998,2018-04-06 00:39:37.000,2.5,1001,2018-04-06 00:13:00.000,107.61,2018-04-06,00:13:00,2018-04-06,0 days 00:26:37.587000000,26.62645,0,0,Walking,26
475,1588.391,1593646,2018-04-06 00:40:38.440,2018-04-06 00:40:38.440,UTC-0300,1.0807437,2018-04-06 00:39:36.420,1.3888888,1001,2018-04-06 00:13:02.774,97.61,2018-04-06,00:13:02.774000,2018-04-06,0 days 00:26:33.646000000,26.56076666666667,0,0,Walking,26
274,1075.46,947578,2018-04-10 23:57:16.811,2018-04-10 23:57:16.811,UTC-0300,1.1349566999999998,2018-04-10 20:46:03.000,1.8055556,1001,2018-04-10 20:30:16.000,82.19,2018-04-10,20:30:16,2018-04-10,0 days 00:15:47.578000000,15.792966666666668,20,20,Walking,15
235,1013.449,985336,2018-04-10 20:47:36.366,2018-04-10 20:47:36.366,UTC-0300,1.4051973999999998,2018-04-10 20:46:35.082,1.5833334,1001,2018-04-10 20:30:09.746,77.04,2018-04-10,20:30:09.746000,2018-04-10,0 days 00:16:25.336000000,16.422266666666665,20,20,Walking,16
16,1583.3,1126450,2018-04-12 23:21:55.807,2018-04-12 23:21:55.807,UTC-0300,1.4055661,2018-04-12 23:19:18.000,3.3611112000000003,1001,2018-04-12 23:00:32.000,99.01,2018-04-12,23:00:32,2018-04-12,0 days 00:18:46.450000000,18.774166666666666,23,23,Walking,18
150,1585.861,1366868,2018-04-12 23:20:22.537,2018-04-12 23:20:22.537,UTC-0300,1.336619,2018-04-12 23:19:21.187,2.7222223,1001,2018-04-12 22:56:34.319,105.75,2018-04-12,22:56:34.319000,2018-04-12,0 days 00:22:46.868000000,22.781133333333337,22,23,Walking,22
438,2038.9,1635529,2018-04-13 14:24:49.087,2018-04-13 14:24:49.087,UTC-0300,1.2466303,2018-04-13 13:02:15.000,2.0277777,1001,2018-04-13 12:35:00.000,106.13,2018-04-13,12:35:00,2018-04-13,0 days 00:27:15.529000000,27.258816666666668,12,13,Walking,27
324,1897.419,1810317,2018-04-13 13:05:13.400,2018-04-13 13:05:13.400,UTC-0300,1.2100133,2018-04-13 13:04:12.413,1.5833334,1001,2018-04-13 12:34:02.096,111.73,2018-04-13,12:34:02.096000,2018-04-13,0 days 00:30:10.317000000,30.17195,12,13,Walking,30
371,1519.2,1477552,2018-04-20 12:22:00.398,2018-04-20 12:22:00.398,UTC-0300,1.1088889,2018-04-20 12:20:58.864,1.3611112,1001,2018-04-20 11:56:21.312,92.7,2018-04-20,11:56:21.312000,2018-04-20,0 days 00:24:37.552000000,24.62586666666667,11,12,Walking,24
234,1333.693,1185743,2018-04-22 12:59:40.391,2018-04-22 12:59:40.391,UTC-0300,1.2923905,2018-04-22 12:58:38.605,1.7222221999999998,1001,2018-04-22 12:38:52.862,76.54,2018-04-22,12:38:52.862000,2018-04-22,0 days 00:19:45.743000000,19.762383333333336,12,12,Walking,19
91,1422.707,1360177,2018-04-22 11:50:51.618,2018-04-22 11:50:51.618,UTC-0300,1.1409789,2018-04-22 11:49:50.101,1.4444444,1001,2018-04-22 11:27:09.924,84.7,2018-04-22,11:27:09.924000,2018-04-22,0 days 00:22:40.177000000,22.66961666666667,11,11,Walking,22
216,1609.35,1230727,2018-04-22 12:06:07.267,2018-04-22 12:06:07.267,UTC-0300,1.3076417,2018-04-22 11:49:31.000,1.4722222,1001,2018-04-22 11:29:01.000,84.79,2018-04-22,11:29:01,2018-04-22,0 days 00:20:30.727000000,20.512116666666667,11,11,Walking,20
