Unnamed: 0,distance,duration,update_time,create_time,time_offset,mean_speed,end_time,max_speed,exercise_type,start_time,calorie,start_date,start,end_date,exercise_duration,exercise_duration_minutes,start_hour,end_hour,type
196,2365.21,1781940,2018-03-23 16:08:06.332,2018-03-23 16:08:06.332,UTC-0300,1.327323,2018-03-23 13:45:11.000,2.0555556,1001,2018-03-23 13:15:30.000,123.38,2018-03-23,13:15:30,2018-03-23,0 days 00:29:41.940000000,29.699,13,13,Walking
79,2045.67,1705277,2018-03-23 13:45:05.417,2018-03-23 13:45:05.417,UTC-0300,1.2192038,2018-03-23 13:44:04.809,1.5555556,1001,2018-03-23 13:15:39.532,119.51,2018-03-23,13:15:39.532000,2018-03-23,0 days 00:28:25.277000000,28.421283333333335,13,13,Walking
94,2395.0,1818360,2018-03-23 13:12:36.234,2018-03-23 13:12:36.234,UTC-0300,1.3171209,2018-03-23 12:51:27.000,1.4722222,1001,2018-03-23 12:21:09.000,127.06,2018-03-23,12:21:09,2018-03-23,0 days 00:30:18.360000000,30.306,12,12,Walking
115,2001.509,1880954,2018-03-23 12:52:43.364,2018-03-23 12:52:43.364,UTC-0300,1.1152102,2018-03-23 12:51:42.776,1.75,1001,2018-03-23 12:20:21.822,123.33,2018-03-23,12:20:21.822000,2018-03-23,0 days 00:31:20.954000000,31.349233333333338,12,12,Walking
484,3446.305,3390489,2018-03-25 15:22:18.489,2018-03-25 15:22:18.489,UTC-0300,1.0645854,2018-03-25 15:21:16.908,1.5833334,1001,2018-03-25 14:24:46.419,215.08,2018-03-25,14:24:46.419000,2018-03-25,0 days 00:56:30.489000000,56.50815,14,15,Walking
22,1003.31,923491,2018-03-25 19:28:43.461,2018-03-25 19:28:43.461,UTC-0300,1.1786413999999998,2018-03-25 19:27:42.786,1.3888888,1001,2018-03-25 19:12:19.295,60.8,2018-03-25,19:12:19.295000,2018-03-25,0 days 00:15:23.491000000,15.391516666666668,19,19,Walking
2,4188.52,3367121,2018-03-25 15:40:47.657,2018-03-25 15:40:47.657,UTC-0300,1.2439469,2018-03-25 15:23:07.000,1.6388888,1001,2018-03-25 14:27:00.000,221.59999,2018-03-25,14:27:00,2018-03-25,0 days 00:56:07.121000000,56.11868333333334,14,15,Walking
336,2570.597,2143165,2018-03-26 12:47:44.681,2018-03-26 12:47:44.681,UTC-0300,1.2274376,2018-03-26 12:46:42.353,1.5277778,1001,2018-03-26 12:10:59.188,153.28,2018-03-26,12:10:59.188000,2018-03-26,0 days 00:35:43.165000000,35.71941666666667,12,12,Walking
162,2907.61,2136440,2018-03-26 12:49:45.966,2018-03-26 12:49:45.966,UTC-0300,1.3609601999999998,2018-03-26 12:46:36.000,2.0277777,1001,2018-03-26 12:11:00.000,153.25,2018-03-26,12:11:00,2018-03-26,0 days 00:35:36.440000000,35.60733333333334,12,12,Walking
34,0.0,1500000,2018-03-29 13:57:46.268,2018-03-29 13:57:43.456,UTC-0300,0.0,2018-03-29 11:52:00.000,,14001,2018-03-29 11:27:00.000,210.0,2018-03-29,11:27:00,2018-03-29,0 days 00:25:00.000000000,25.0,11,11,Swimming
80,1785.71,1322983,2018-03-29 12:07:48.256,2018-03-29 12:07:48.256,UTC-0300,1.3497603,2018-03-29 12:06:32.000,2.6666667,1001,2018-03-29 11:44:30.000,114.54,2018-03-29,11:44:30,2018-03-29,0 days 00:22:02.983000000,22.04971666666667,11,12,Walking
494,830.563,900958,2018-03-29 01:09:14.155,2018-03-29 01:09:14.155,UTC-0300,1.2731429,2018-03-29 01:08:13.543,1.5833334,1001,2018-03-29 00:53:12.585,67.78,2018-03-29,00:53:12.585000,2018-03-29,0 days 00:15:00.958000000,15.015966666666667,0,1,Walking
435,2479.41,1887204,2018-03-30 22:27:46.634,2018-03-30 22:27:46.634,UTC-0300,1.3138007,2018-03-30 22:16:42.000,2.6111112000000003,1001,2018-03-30 21:45:15.000,134.19,2018-03-30,21:45:15,2018-03-30,0 days 00:31:27.204000000,31.453400000000002,21,22,Walking
317,3654.93,2778744,2018-03-30 14:06:00.506,2018-03-30 14:06:00.506,UTC-0300,1.3153173,2018-03-30 12:41:29.000,1.6666666,1001,2018-03-30 11:55:11.000,192.81999,2018-03-30,11:55:11,2018-03-30,0 days 00:46:18.744000000,46.312400000000004,11,12,Walking
