index,start_date,calorie,exercise_duration_minutes,time_offset,date,efficiency,quality,sleep_duration,day_of_week_y,week_number,status
201,2018-10-22,65.35,15.505033333333333,UTC-0300,2018-10-22,91.84061,,483.08160860000004,Monday,43,No_Travel
202,2018-10-23,252.0,30.0,UTC-0300,2018-10-23,92.36234,,519.0763508000001,Tuesday,43,No_Travel
203,2018-10-25,378.0,45.0,UTC-0300,2018-10-25,92.25589,,547.9999866,Thursday,43,No_Travel
204,2018-10-26,329.081,61.88535,UTC-0300,2018-10-26,91.61905,,480.083822,Friday,43,No_Travel
205,2018-10-27,378.0,45.0,UTC-0300,2018-10-27,92.00864,,425.07991680000003,Saturday,43,No_Travel
206,2018-10-28,285.0,30.0,UTC-0300,2018-10-28,93.98663,,421.9999687,Sunday,43,No_Travel
207,2018-10-29,298.944,56.20061666666667,UTC-0300,2018-10-29,91.2114,,383.08788000000004,Monday,44,No_Travel
208,2018-10-30,175.20999999999998,34.091366666666666,UTC-0300,2018-10-30,88.152197,,394.18179654,Tuesday,44,No_Travel
209,2018-10-31,340.623,69.05231666666667,UTC-0300,2018-10-31,87.21500166666665,,433.3835374999834,Wednesday,44,No_Travel
210,2018-11-03,336.0,40.0,UTC-0300,2018-11-03,92.98969,,450.0700996,Saturday,44,No_Travel
211,2018-11-05,650.875,99.19943333333333,UTC-0400,2018-11-05,89.49044,,561.1050588,Monday,45,No_Travel
212,2018-11-12,168.87,34.717266666666674,UTC-0400,2018-11-12,90.89531,,437.1821011,Monday,46,No_Travel
213,2018-11-14,336.0,40.0,UTC-0400,2018-11-14,93.66516,,413.0633556,Wednesday,46,No_Travel
214,2018-11-15,174.89999999999998,31.6411,UTC-0400,2018-11-15,91.68317,,463.00000850000004,Thursday,46,No_Travel
215,2018-11-16,378.0,45.0,UTC-0400,2018-11-16,91.17117,,505.0882818,Friday,46,No_Travel
216,2018-11-18,334.271,62.833400000000005,UTC-0400,2018-11-18,87.80488000000003,,467.1219616,Sunday,46,No_Travel
217,2018-11-19,74.43,15.606066666666667,UTC-0400,2018-11-19,84.37817000000001,,379.31243830000005,Monday,47,No_Travel
218,2018-11-20,294.0,35.0,UTC-0400,2018-11-20,90.630573,,472.07159877998333,Tuesday,47,No_Travel
219,2018-11-22,420.0,50.0,UTC-0400,2018-11-22,89.980736,,466.10021248000004,Thursday,47,No_Travel
220,2018-11-23,66.35,15.892616666666667,UTC-0400,2018-11-23,92.38156000000001,,529.1523572,Friday,47,No_Travel
221,2018-11-24,384.517,72.28108333333334,UTC-0400,2018-11-24,91.30435,,440.086967,Saturday,47,No_Travel
222,2018-11-25,318.507,59.87213333333334,UTC-0400,2018-11-25,92.1371,,456.078645,Sunday,47,No_Travel
223,2018-11-27,170.96,33.68761666666667,UTC-0400,2018-11-27,89.393936,,471.10604272,Tuesday,48,No_Travel
224,2018-11-29,336.0,40.0,UTC-0400,2018-11-29,90.78341,,393.0921653,Thursday,48,No_Travel
